Unnamed: 0,Venue,City,Country,Date,Year,State,Setlist,Set Opener,Latitude,Longitude
1406,Knickerbocker Arena,Albany,USA,1993-03-29,1993,NY,"['let the good times roll', 'feels like a stranger', 'loser', 'little red rooster', 'ramble on rose', 'black throated wind', 'lazy river road', 'johnny b goode', 'here comes sunshine', 'looks like rain', 'box of rain', ""he's gone"", 'drums', 'space', 'the last time', 'wharf rat', ""throwin' stones"", 'not fade away', 'liberty']",let the good times roll,42.6511674,-73.754968
1407,Nassau Coliseum,Uniondale,USA,1993-03-31,1993,NY,"['cold rain and snow', 'wang dang doodle', 'althea', ""it's all over now"", 'row jimmy', 'let it grow', 'cumberland blues', ""truckin'"", 'lazy river road', ""playin' in the band"", ""uncle john's band"", 'drums', 'space', 'i need a miracle', 'standing on the moon', 'sugar magnolia', 'i fought the law']",cold rain and snow,40.7157545,-73.5898872
1408,Nassau Coliseum,Uniondale,USA,1993-04-01,1993,NY,"['jack straw', 'they love eachother', 'minglewood blues', 'candyman', 'desolation row', 'stagger lee', 'eternity', 'liberty', 'aiko aiko', 'saint of circumstance', 'crazy fingers', 'wave to the wind', 'drums', 'space', 'long way to go home', 'the days between', 'lovelight', 'rain']",jack straw,40.7157545,-73.5898872
1409,Nassau Coliseum,Uniondale,USA,1993-04-02,1993,NY,"['help on the way', 'slipknot', ""franklin's tower"", 'the same thing', 'jack-a-roe', 'queen jane', 'brown eyed women', 'picasso moon', 'scarlet begonias', 'fire on the mountain', 'women are smarter', 'terrapin station', 'corina', 'drums', 'space', 'the last time', 'black peter', 'around and around', 'brokedown palace']",help on the way,40.7157545,-73.5898872
1410,Nassau Coliseum,Uniondale,USA,1993-04-04,1993,NY,"['midnight hour', 'sugaree', ""walkin' blues"", 'dire wolf', 'masterpiece', 'so many roads', 'eternity', 'birdsong', 'eyes of the world', 'samson and delilah', 'broken arrow', 'estimated prophet', 'drums', 'space', 'the other one', 'attics of my life', ""throwin' stones"", 'not fade away', 'liberty']",midnight hour,40.7157545,-73.5898872
1411,Nassau Coliseum,Uniondale,USA,1993-04-05,1993,NY,"['touch of grey', 'greatest story ever told', 'lazy river road', ""tom thumb's blues"", 'black throated wind', 'tennessee jed', 'music never stopped', 'deal', 'i fought the law', 'long way to go home', 'corina', ""he's gone"", 'drums', 'space', 'i need a miracle', 'wharf rat', 'gloria', 'us blues']",touch of grey,40.7157545,-73.5898872
1413,Sam Boyd Silver Bowl,Las Vegas,USA,1993-05-14,1993,NV,"['cold rain and snow', 'wang dang doodle', 'lazy river road', 'queen jane', 'ramble on rose', 'black throated wind', 'liberty', 'scarlet begonias', 'fire on the mountain', 'long way to go home', 'corina', ""uncle john's band"", 'drums', 'space', 'i need a miracle', 'standing on the moon', 'sugar magnolia', 'i fought the law']",cold rain and snow,36.1674263,-115.1484131
1414,Sam Boyd Silver Bowl,Las Vegas,USA,1993-05-15,1993,NV,"['picasso moon', 'peggyo', 'the same thing', 'tennessee jed', 'broken arrow', 'bird song', 'here comes sunshine', ""playin' in the band"", 'crazy fingers', ""playin' reprise"", 'drums', 'space', 'watchtower', 'the days between', 'one more saturday night', 'lucy in the sky with diamonds']",picasso moon,36.1674263,-115.1484131
1415,Sam Boyd Silver Bowl,Las Vegas,USA,1993-05-16,1993,NV,"['touch of grey', ""walkin' blues"", 'althea', 'masterpiece', 'row jimmy', 'cassidy', 'samson and delilah', 'help on the way', 'slipknot!', ""franklin's tower"", 'looks like rain', 'terrapin station', 'drums', 'space', 'the other one', 'wharf rat', ""throwin' stones"", 'lovelight', 'brokedown palace']",touch of grey,36.1674263,-115.1484131
1416,Shoreline Ampitheatre,Mountain View,USA,1993-05-21,1993,CA,"['let the good times roll', 'feels like a stranger', 'friend of the devil', 'me and my uncle', 'big river', 'west la fadeaway', 'eternity', 'liberty', 'china cat sunflower', 'i know you rider', 'long way to go home', 'estimated prophet', ""he's gone"", 'drums', 'space', 'watchtower', 'morning dew', ""baba o'riley"", 'tomorrow never knows']",let the good times roll,37.3893889,-122.0832101
1417,Shoreline Ampitheatre,Mountain View,USA,1993-05-22,1993,CA,"['mississippi half step', 'little red rooster', 'brown eyed women', 'broken arrow', 'supplication', 'stagger lee', 'promised land', 'foolish heart', 'women are smarter', 'ship of fools', 'corina', 'drums', 'space', 'the last time', 'stella blue', 'one more saturday night', 'i fought the law']",mississippi half step,37.3893889,-122.0832101
1418,Shoreline Ampitheatre,Mountain View,USA,1993-05-23,1993,CA,"['jack straw', 'loser', ""tom thumb's blues"", ""it's all over now"", 'bird song', 'music never stopped', 'aiko aiko', 'wave to the wind', 'saint of circumstance', 'terrapin station', 'drums', 'space', 'i need a miracle', 'the days between', 'not fade away', 'lucy in the sky with diamonds']",jack straw,37.3893889,-122.0832101
1419,Cal Expo,Sacramento,USA,1993-05-25,1993,CA,"['bertha', 'greatest story ever told', 'jack a roe', 'wang dang doodle', 'loose lucy', 'queen jane', 'lazy river road', 'let it grow', ""don't ease me in"", 'eyes of the world', 'looks like rain', 'long way to go home', ""truckin'"", 'drums', 'space', 'the wheel', ""throwin' stones"", 'gdtrfb', 'johnny b goode', 'rain']",bertha,38.5810606,-121.493895
1420,Cal Expo,Sacramento,USA,1993-05-26,1993,CA,"['samson and delilah', 'here comes sunshine', ""walkin' blues"", 'broken arrow', 'ramble on rose', 'memphis blues', 'deal', 'box of rain', 'victim or the crime', 'crazy fingers', ""playin' in the band"", 'drums', 'space', 'corina', ""playin' reprise"", 'china doll', 'around and around', 'liberty']",samson and delilah,38.5810606,-121.493895
1421,Cal Expo,Sacramento,USA,1993-05-27,1993,CA,"['shakedown street', 'the same thing', 'dire wolf', 'biodtl', 'high time', 'masterpiece', 'cumberland blues', 'promised land', 'picasso moon', 'fire on the mountain', 'wave to the wind', 'cassidy', ""uncle john's band"", 'cassidy', 'drums', 'space', 'the other one', 'wharf rat', 'sugar magnolia', 'gloria']",shakedown street,38.5810606,-121.493895
